INFO 2026-01-27 18:03:36,183 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-01-27 18:03:39,823 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-01-27 18:03:39,900 basehttp "GET /admin/ HTTP/1.1" 200 8743
INFO 2026-01-27 18:03:43,967 basehttp "GET /admin/bookapp/book/ HTTP/1.1" 200 9265
INFO 2026-01-27 18:03:43,989 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,994 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,994 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,996 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,997 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,998 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,998 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,998 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:43,999 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:44,013 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-01-27 18:03:44,080 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-27 18:03:44,090 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-01-27 18:03:45,046 basehttp "GET /admin/ HTTP/1.1" 200 8743
WARNING 2026-01-27 18:04:05,251 log Unauthorized: /get_username
WARNING 2026-01-27 18:04:05,253 basehttp "GET /get_username HTTP/1.1" 401 58
ERROR 2026-01-27 18:04:05,453 log Internal Server Error: /groups/jnjcbhbhbsdc
Traceback (most recent call last):
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\views\generic\base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\rest_framework\views.py", line 509, in dispatch
    response = self.handle_exception(exc)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\rest_framework\views.py", line 469, in handle_exception
    self.raise_uncaught_exception(exc)
    ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\rest_framework\views.py", line 480, in raise_uncaught_exception
    raise exc
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\rest_framework\views.py", line 506, in dispatch
    response = handler(request, *args, **kwargs)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\rest_framework\decorators.py", line 50, in handler
    return func(*args, **kwargs)
  File "D:\Sasha\GitHub\book_club\backend\bookapp\views.py", line 67, in get_reading_group
    reading_group = ReadingGroup.objects.get(slug=slug)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\db\models\manager.py", line 87, in manager_method
    return getattr(self.get_queryset(), name)(*args, **kwargs)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\db\models\query.py", line 649, in get
    raise self.model.DoesNotExist(
        "%s matching query does not exist." % self.model._meta.object_name
    )
bookapp.models.ReadingGroup.DoesNotExist: ReadingGroup matching query does not exist.
INFO 2026-01-27 18:04:05,458 basehttp - Broken pipe from ('127.0.0.1', 55510)
ERROR 2026-01-27 18:04:05,582 log Internal Server Error: /user_to_reading_group_state_list/11/
Traceback (most recent call last):
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\db\models\fields\__init__.py", line 2123, in get_prep_value
    return int(value)
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\contrib\auth\models.py", line 438, in __int__
    raise TypeError(
    ...<2 lines>...
    )
TypeError: Cannot cast AnonymousUser to int. Are you trying to use it in place of User?

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File "C:\Users\Danila\bookapp_venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
